Time,PV(W)
2026-02-03 00:00:00,0
2026-02-03 00:05:00,0
2026-02-03 00:10:00,0
2026-02-03 00:15:00,0
2026-02-03 00:20:00,0
2026-02-03 00:25:00,0
2026-02-03 00:30:00,0
2026-02-03 00:35:00,0
2026-02-03 00:40:00,0
2026-02-03 00:45:00,0
2026-02-03 00:50:00,0
2026-02-03 00:55:00,0
2026-02-03 01:00:00,0
2026-02-03 01:05:00,0
2026-02-03 01:10:00,0
2026-02-03 01:15:00,0
2026-02-03 01:20:00,0
2026-02-03 01:25:00,0
2026-02-03 01:30:00,0
2026-02-03 01:35:00,0
2026-02-03 01:40:00,0
2026-02-03 01:45:00,0
2026-02-03 01:50:00,0
2026-02-03 01:55:00,0
2026-02-03 02:00:00,0
2026-02-03 02:05:00,0
2026-02-03 02:10:00,0
2026-02-03 02:15:00,0
2026-02-03 02:20:00,0
2026-02-03 02:25:00,0
2026-02-03 02:30:00,0
2026-02-03 02:35:00,0
2026-02-03 02:40:00,0
2026-02-03 02:45:00,0
2026-02-03 02:50:00,0
2026-02-03 02:55:00,0
2026-02-03 03:00:00,0
2026-02-03 03:05:00,0
2026-02-03 03:10:00,0
2026-02-03 03:15:00,0
2026-02-03 03:20:00,0
2026-02-03 03:25:00,0
2026-02-03 03:30:00,0
2026-02-03 03:35:00,0
2026-02-03 03:40:00,0
2026-02-03 03:45:00,0
2026-02-03 03:50:00,0
2026-02-03 03:55:00,0
2026-02-03 04:00:00,0
2026-02-03 04:05:00,0
2026-02-03 04:10:00,0
2026-02-03 04:15:00,0
2026-02-03 04:20:00,0
2026-02-03 04:25:00,0
2026-02-03 04:30:00,0
2026-02-03 04:35:00,0
2026-02-03 04:40:00,0
2026-02-03 04:45:00,0
2026-02-03 04:50:00,0
2026-02-03 04:55:00,0
2026-02-03 05:00:00,0
2026-02-03 05:05:00,0
2026-02-03 05:10:00,0
2026-02-03 05:15:00,0
2026-02-03 05:20:00,0
2026-02-03 05:25:00,0
2026-02-03 05:30:00,0
2026-02-03 05:35:00,0
2026-02-03 05:40:00,0
2026-02-03 05:45:00,0
2026-02-03 05:50:00,0
2026-02-03 05:55:00,0
2026-02-03 06:00:00,0
2026-02-03 06:05:00,0
2026-02-03 06:10:00,0
2026-02-03 06:15:00,0
2026-02-03 06:20:00,0
2026-02-03 06:25:00,0
2026-02-03 06:30:00,0
2026-02-03 06:35:00,0
2026-02-03 06:40:00,0
2026-02-03 06:45:00,0
2026-02-03 06:50:00,0
2026-02-03 06:55:00,0
2026-02-03 07:00:00,0
2026-02-03 07:05:00,0
2026-02-03 07:10:00,0
2026-02-03 07:15:00,77
2026-02-03 07:20:00,658
2026-02-03 07:25:00,1411
2026-02-03 07:30:00,2436
2026-02-03 07:35:00,3800
2026-02-03 07:40:00,5528
2026-02-03 07:45:00,7564
2026-02-03 07:50:00,10530
2026-02-03 07:55:00,13418
2026-02-03 08:00:00,17075
2026-02-03 08:05:00,20203
2026-02-03 08:10:00,23436
2026-02-03 08:15:00,27418
2026-02-03 08:20:00,31876
2026-02-03 08:25:00,35506
2026-02-03 08:30:00,40065
2026-02-03 08:35:00,43001
2026-02-03 08:40:00,48665
2026-02-03 08:45:00,52125
2026-02-03 08:50:00,58084
2026-02-03 08:55:00,63023
2026-02-03 09:00:00,67965
2026-02-03 09:05:00,73399
2026-02-03 09:10:00,78257
2026-02-03 09:15:00,80990
2026-02-03 09:20:00,86364
2026-02-03 09:25:00,89430
2026-02-03 09:30:00,95474
2026-02-03 09:35:00,99567
2026-02-03 09:40:00,103518
2026-02-03 09:45:00,107623
2026-02-03 09:50:00,110550
2026-02-03 09:55:00,102663
2026-02-03 10:00:00,119153
2026-02-03 10:05:00,126078
2026-02-03 10:10:00,129465
2026-02-03 10:15:00,136315
2026-02-03 10:20:00,140488
2026-02-03 10:25:00,144109
2026-02-03 10:30:00,141414
2026-02-03 10:35:00,146982
2026-02-03 10:40:00,150351
2026-02-03 10:45:00,150554
2026-02-03 10:50:00,154413
2026-02-03 10:55:00,155431
2026-02-03 11:00:00,158907
2026-02-03 11:05:00,155077
2026-02-03 11:10:00,149181
2026-02-03 11:15:00,155513
2026-02-03 11:20:00,162685
2026-02-03 11:25:00,163712
2026-02-03 11:30:00,154547
2026-02-03 11:35:00,167411
2026-02-03 11:40:00,163779
2026-02-03 11:45:00,168135
2026-02-03 11:50:00,164151
2026-02-03 11:55:00,170373
2026-02-03 12:00:00,167788
2026-02-03 12:05:00,178254
2026-02-03 12:10:00,173262
2026-02-03 12:15:00,174505
2026-02-03 12:20:00,172826
2026-02-03 12:25:00,173256
2026-02-03 12:30:00,173044
2026-02-03 12:35:00,176857
2026-02-03 12:40:00,177865
2026-02-03 12:45:00,174380
2026-02-03 12:50:00,175853
2026-02-03 12:55:00,181185
2026-02-03 13:00:00,179377
2026-02-03 13:05:00,178470
2026-02-03 13:10:00,180441
2026-02-03 13:15:00,181444
2026-02-03 13:20:00,151173
2026-02-03 13:25:00,181376
2026-02-03 13:30:00,165894
2026-02-03 13:35:00,182992
2026-02-03 13:40:00,181692
2026-02-03 13:45:00,172584
2026-02-03 13:50:00,168177
2026-02-03 13:55:00,169675
2026-02-03 14:00:00,169194
2026-02-03 14:05:00,168852
2026-02-03 14:10:00,164470
2026-02-03 14:15:00,166115
2026-02-03 14:20:00,167099
2026-02-03 14:25:00,159060
2026-02-03 14:30:00,151794
2026-02-03 14:35:00,154082
2026-02-03 14:40:00,148240
2026-02-03 14:45:00,143679
2026-02-03 14:50:00,144494
2026-02-03 14:55:00,138388
2026-02-03 15:00:00,113358
2026-02-03 15:05:00,107390
