Transformer,LV Bus,Area,TX Rating kVA,R (pu sys base),Max PV voltage limit kW,Hosting Capacity kW
AACHARYA_BH1,57,Residential,1000.0,0.6822,8795.2,1000.0
AACHARYA_BH2,59,Residential,1000.0,0.6822,8795.2,1000.0
AACHARYA_BH3,60,Residential,1000.0,0.6822,8795.2,1000.0
EE_DEPT,10,Academic,500.0,1.644,3649.7,500.0
MECH_DEPT,11,Academic,500.0,1.644,3649.7,500.0
CS_DEPT,12,Academic,500.0,1.644,3649.7,500.0
AROBINDO_H1,51,Residential,500.0,1.644,3649.7,500.0
HOSTEL_7,52,Residential,500.0,1.644,3649.7,500.0
VINODINI_H1,53,Residential,500.0,1.644,3649.7,500.0
AROBINDO_H2,54,Residential,500.0,1.644,3649.7,500.0
VINODINI_H2,56,Residential,500.0,1.644,3649.7,500.0
ADMIN_BLK,15,Academic,315.0,2.4904,2409.3,315.0
STAFF_GATE,58,Residential,315.0,2.4904,2409.3,315.0
ECE_DEPT,13,Academic,250.0,3.1379,1912.1,250.0
LIBRARY,14,Academic,250.0,3.1379,1912.1,250.0
CTYPE_QTR,50,Residential,250.0,3.1379,1912.1,250.0
SHOPPING,55,Residential,250.0,3.1379,1912.1,250.0
