Transformer,LV Bus,Area,Peak Load kW,Annual kWh
EE_DEPT,10,Academic,441.7,2321575.0
MECH_DEPT,11,Academic,441.7,2321575.0
CS_DEPT,12,Academic,441.7,2321575.0
ECE_DEPT,13,Academic,206.1,1083262.0
LIBRARY,14,Academic,206.1,1083262.0
ADMIN_BLK,15,Academic,294.5,1547892.0
CTYPE_QTR,50,Residential,441.6,2321050.0
AROBINDO_H1,51,Residential,960.0,5045760.0
HOSTEL_7,52,Residential,441.6,2321050.0
VINODINI_H1,53,Residential,753.8,3961973.0
AROBINDO_H2,54,Residential,1095.4,5757422.0
SHOPPING,55,Residential,441.6,2321050.0
VINODINI_H2,56,Residential,989.4,5200286.0
AACHARYA_BH1,57,Residential,1077.8,5664917.0
STAFF_GATE,58,Residential,588.8,3094733.0
AACHARYA_BH2,59,Residential,1213.2,6376579.0
AACHARYA_BH3,60,Residential,1077.8,5664917.0
