Rank,Transformer,LV Bus,Area,P (MW),LSF
1,ECE_DEPT,13,Academic,0.206,-0.027136
2,LIBRARY,14,Academic,0.206,-0.027136
3,ADMIN_BLK,15,Academic,0.294,-0.030781
4,HOSTEL_7,52,Residential,0.442,-0.039456
5,EE_DEPT,10,Academic,0.442,-0.039472
6,MECH_DEPT,11,Academic,0.442,-0.039472
7,CS_DEPT,12,Academic,0.442,-0.039472
8,CTYPE_QTR,50,Residential,0.442,-0.058138
9,SHOPPING,55,Residential,0.442,-0.058138
10,AACHARYA_BH1,57,Residential,1.078,-0.058196
11,AACHARYA_BH3,60,Residential,1.078,-0.058196
12,STAFF_GATE,58,Residential,0.589,-0.061522
13,AACHARYA_BH2,59,Residential,1.213,-0.065507
14,VINODINI_H1,53,Residential,0.754,-0.067364
15,AROBINDO_H1,51,Residential,0.96,-0.085797
16,VINODINI_H2,56,Residential,0.989,-0.08842
17,AROBINDO_H2,54,Residential,1.095,-0.097896
