Rank,Transformer,LV Bus,Area,P (MW),Q (MVAR),R (pu),X (pu),VSI,Priority
1,AROBINDO_H2,54,Residential,1.095,0.679,1.644,9.8639,0.583563,HIGH
2,VINODINI_H2,56,Residential,0.989,0.613,1.644,9.8639,0.626385,HIGH
3,AROBINDO_H1,51,Residential,0.96,0.595,1.644,9.8639,0.638166,HIGH
4,VINODINI_H1,53,Residential,0.754,0.467,1.644,9.8639,0.719625,MEDIUM
5,STAFF_GATE,58,Residential,0.589,0.365,2.4904,12.4518,0.728632,MEDIUM
6,CTYPE_QTR,50,Residential,0.442,0.274,3.1379,15.6893,0.744308,MEDIUM
7,SHOPPING,55,Residential,0.442,0.274,3.1379,15.6893,0.744308,MEDIUM
8,AACHARYA_BH2,59,Residential,1.213,0.752,0.6822,5.4575,0.745948,LOW
9,AACHARYA_BH1,57,Residential,1.078,0.668,0.6822,5.4575,0.775265,LOW
10,AACHARYA_BH3,60,Residential,1.078,0.668,0.6822,5.4575,0.775265,LOW
11,EE_DEPT,10,Academic,0.442,0.274,1.644,9.8639,0.839028,LOW
12,MECH_DEPT,11,Academic,0.442,0.274,1.644,9.8639,0.839028,LOW
13,CS_DEPT,12,Academic,0.442,0.274,1.644,9.8639,0.839028,LOW
14,HOSTEL_7,52,Residential,0.442,0.274,1.644,9.8639,0.839064,LOW
15,ADMIN_BLK,15,Academic,0.294,0.182,2.4904,12.4518,0.867883,LOW
16,ECE_DEPT,13,Academic,0.206,0.128,3.1379,15.6893,0.883876,LOW
17,LIBRARY,14,Academic,0.206,0.128,3.1379,15.6893,0.883876,LOW
